Genome	sample_24_nodup RPKM
GCF_000273785.1_Bact_unif_CL03T00C23_V1	0
GCF_000467995.1_ASM46799v1	0.13318093
GCF_000160635.1_ASM16063v1	0
GCF_000091405.1_ASM9140v1	0
GCF_001688705.2_ASM168870v2	0.2685494
GCF_000371725.1_Clos_bolt_90A5_V1	0
GCF_000760655.1_Clos_orbi_1_3_50AFAA_V1	0.18802327
GCF_900111595.1_IMG-taxon_2606217760_annotated_assembly	0
GCF_002763845.1_ASM276384v1	0
GCF_001050435.1_ASM105043v1	0
GCF_000519985.1_ASM51998v1	0
GCF_900129165.1_IMG-taxon_2582581271_annotated_assembly	0
GCF_000224595.1_Prevotella_sp_C561_V1	0
GCF_000403275.1_Lach_bact_28-4_V1	3.869747
GCF_000224615.1_Prev_oulo_F0390_V1	0.47534597
GCF_000701645.1_ASM70164v1	0
GCF_900104155.1_IMG-taxon_2593339137_annotated_assembly	0.111488365
GCF_000382385.1_ASM38238v1	0.63144785
GCF_001547875.1_ASM154787v1	0.18361428
GCF_900100685.1_IMG-taxon_2654588145_annotated_assembly	0.35871547
GCF_001436945.1_ASM143694v1	3.4748702
GCF_000262545.1_ASM26254v1	0
GCF_900111525.1_IMG-taxon_2606217815_annotated_assembly	0
GCF_900234395.1_JOUY54_assembly_v1	0.8494315
GCF_000466565.1_ASM46656v1	0
GCF_000410995.1_ASM41099v1	0
GCF_000503975.1_SJD2	0.22203454
GCF_900167225.1_IMG-taxon_2585428092_annotated_assembly	0
GCF_900157225.1_7BTORR	0.14866753
GCF_900103315.1_IMG-taxon_2623620459_annotated_assembly	0
GCF_900155865.1_PRJEB18812	0.1725221
GCF_002753935.1_ASM275393v1	0.14539719
GCF_000185825.1_ASM18582v1	0.068928994
GCF_000701665.1_ASM70166v1	0
GCF_000439065.1_ASM43906v1	0
GCF_002234575.2_ASM223457v2	0
GCF_900120195.1_PRJEB18016	0
GCF_000055945.1_ASM5594v1	0.12042013
GCF_000531655.1_E7	0
GCF_002549975.1_ASM254997v1	0
GCF_001073445.1_ASM107344v1	0
GCF_001553165.1_ASM155316v1	2.041444
GCF_900157215.1_Strain_3-3	0.35130048
GCF_001717125.1_ASM171712v1	0.57412875
GCF_900103005.1_IMG-taxon_2599185234_annotated_assembly	0
GCF_900115795.1_IMG-taxon_2593339157_annotated_assembly	0
GCF_000379965.1_ASM37996v1	0
GCF_900142105.1_IMG-taxon_2585428153_annotated_assembly	0
GCF_000018685.1_ASM1868v1	0
GCF_000468015.1_ASM46801v1	0
GCF_000166035.1_ASM16603v1	0.5201234
GCF_000312305.1_ASM31230v1	0
GCF_001314265.1_ASM131426v1	0.3104004
GCF_000426305.1_ASM42630v1	1.6838132
GCF_900111325.1_IMG-taxon_2593339159_annotated_assembly	0
GCF_000424305.1_ASM42430v1	0
GCF_000953535.1_E5B	0
GCF_001282705.1_Dorea_massiliensis	0
GCF_001436015.1_ASM143601v1	0
GCF_000403315.2_Lach_bact_A2_V1	0.08224829
GCF_002180435.1_14207_7_48	0.045673586
GCF_000333275.1_ASM33327v1	0.07952706
GCF_900102065.1_IMG-taxon_2593339154_annotated_assembly	0
GCF_900101965.1_IMG-taxon_2675903020_annotated_assembly	0
GCF_002079325.1_ASM207932v1	0
GCF_000233955.1_ASM23395v1	0
GCF_000621825.1_ASM62182v1	0.7222359
GCF_001697285.1_ASM169728v1	0
GCF_900104335.1_IMG-taxon_2593339244_annotated_assembly	0.27608773
GCF_900101835.1_IMG-taxon_2634166305_annotated_assembly	0.0800998
GCF_000371565.1_Clos_clos_90A4_V1	0.39289716
GCF_000766005.1_ASM76600v1	0
GCF_000371405.1_Clos_clos_CM201_V1	0.31590262
GCF_001808555.1_ASM180855v1	17.885075
GCF_000234055.1_Prev_hist_F0411_V1	0
GCF_900196675.1_F2_97	0
GCF_900107575.1_IMG-taxon_2593339166_annotated_assembly	0
GCF_000374585.1_ASM37458v1	0
GCF_900103235.1_IMG-taxon_2593339151_annotated_assembly	0.2349546
GCF_000273725.1_Bact_cacc_CL03T12C61_V1	0
GCF_000163055.2_ASM16305v2	0
GCF_900184885.1_MOUSE_M89_JASPER.fnasta	0.07869875
GCF_002204455.1_ASM220445v1	0.1429201
GCF_900157265.1_A7A1-28	0.18618032
GCF_000507805.1_Rumi_gnav_CC55_001C_V1	0.08973965
GCF_900113995.1_IMG-taxon_2593339255_annotated_assembly	0.1099237
GCF_900096735.1_TFUB20	0.31706363
GCF_900109655.1_IMG-taxon_2651870358_annotated_assembly	0
GCF_000154345.1_ASM15434v1	0
GCF_900106845.1_PRJEB14233	0
GCF_002549905.1_ASM254990v1	0.9340759
GCF_000404205.1_ASM40420v1	0
GCF_000621405.1_ASM62140v1	0.22585742
GCF_000621845.1_ASM62184v1	0
GCF_000620945.1_ASM62094v1	0
GCF_000235445.1_John_igna_ATCC_51276_V1	0
GCF_000157915.1_ASM15791v1	0
GCF_000403155.2_Bact_thet_dnLKV9_V1	0.058931254
GCF_900116875.1_IMG-taxon_2593339243_annotated_assembly	0
GCF_000622025.1_ASM62202v1	0
GCF_900128495.1_PRJEB18049	0
GCF_000487995.1_Muci_scha_ASF457_V1	0
GCF_000621785.1_ASM62178v1	0.40158603
GCF_900108375.1_IMG-taxon_2596583684_annotated_assembly	0.32101768
GCF_000621985.1_ASM62198v1	0.052880935
GCF_900119155.1_IMG-taxon_2593339149_annotated_assembly	0.24288459
GCF_000011065.1_ASM1106v1	0.41508
GCF_900100095.1_IMG-taxon_2593339216_annotated_assembly	0
GCF_001543345.1_ASM154334v1	0
GCF_900107675.1_IMG-taxon_2693429854_annotated_assembly	1.0418895
GCF_000185705.2_Bilo_wads_3_1_6_V2	0
GCF_000384195.1_ASM38419v1	0
GCF_000154125.1_ASM15412v1	1.0892508
GCF_000195635.1_ASM19563v1	0
GCF_001688665.2_ASM168866v2	0
GCF_001553215.1_ASM155321v1	2.0333776
GCF_000307495.1_Para_merd_CL09T00C40_V1	0
GCF_000273315.1_Bact_xyla_CL03T12C04_V1	0
GCF_900114365.1_IMG-taxon_2651870357_annotated_assembly	0
GCF_000769475.1_ASM76947v1	0
GCF_001922325.1_ASM192232v1	0
GCF_000185545.1_ASM18554v1	0
GCF_900100465.1_IMG-taxon_2654588146_annotated_assembly	0.067114264
GCF_900109215.1_IMG-taxon_2654588124_annotated_assembly	0
GCF_000158075.1_ASM15807v1	0
GCF_000466485.1_ASM46648v1	1.2790269
GCF_000159995.1_ASM15999v1	0
GCF_900167385.1_IMG-taxon_2585428083_annotated_assembly	0
GCF_000482365.1_ASM48236v1	0
GCF_000238215.1_ASM23821v1	0.25143853
GCF_000403475.2_Lach_bact_3-2_V1	0.4839999
GCF_900112775.1_IMG-taxon_2599185221_annotated_assembly	3.2886024
GCF_900142115.1_IMG-taxon_2585428154_annotated_assembly	0
GCF_900099715.1_IMG-taxon_2593339241_annotated_assembly	0
GCF_900102475.1_IMG-taxon_2599185228_annotated_assembly	0
GCF_900101605.1_IMG-taxon_2595698227_annotated_assembly	0.16600141
GCF_900167555.1_IMG-taxon_2590828806_annotated_assembly	0
GCF_000396085.1_Ente_faec_B1933_V1	0
GCF_000798825.1_ZWU0011.1	0
GCF_000156675.1_ASM15667v1	0.029956102
GCF_000189595.1_Clos_symb_WAL_14163_V1	0.13270822
GCF_001434845.1_ASM143484v1	0
GCF_900141865.1_IMG-taxon_2585428091_annotated_assembly	0
GCF_000622085.1_ASM62208v1	0.6404064
GCF_000155205.1_ASM15520v1	0
GCF_000430565.1_ASM43056v1	0
GCF_000154205.1_ASM15420v1	0
GCF_900113155.1_IMG-taxon_2593339147_annotated_assembly	0.26810244
GCF_900081375.1_12641_2_43	0
GCF_000702245.1_ASM70224v1	0
GCF_001056335.1_ASM105633v1	1.4341866
GCF_000296465.1_Barn_inte_YIT_11860_V1	0
GCF_002254255.1_ASM225425v1	0.035465438
GCF_900078295.2_PRJEB13136	0
GCF_900176655.1_PRJEB20374	0
GCF_001011095.1_ASM101109v1	0.13207228
GCF_002257605.1_ASM225760v1	0.09291345
GCF_000307265.1_ASM30726v1	0
GCF_000586615.1_RaSY3	0.07999773
GCF_000423925.1_ASM42392v1	0.090503596
GCF_900130135.1_PRJEB18269	0
GCF_000403215.1_Lach_bact_A4_V1	0.082495436
GCF_000009925.1_ASM992v1	5.8020706
GCF_001435065.1_ASM143506v1	0.9589967
GCF_900100245.1_IMG-taxon_2606217752_annotated_assembly	0.06588631
GCF_000265365.1_ASM26536v1	0
GCF_001435835.1_ASM143583v1	0
GCF_900101165.1_IMG-taxon_2619619006_annotated_assembly	0.061585166
GCF_000429145.1_ASM42914v1	0
GCF_002179515.1_ASM217951v1	0
GCF_000374505.1_ASM37450v1	0
GCF_000403355.2_Ente_caec_B7_V1	0
GCF_000160675.1_ASM16067v1	0
GCF_000702025.1_ASM70202v1	0
GCF_900114115.1_IMG-taxon_2622736590_annotated_assembly	0
GCF_001487105.1_Ruminococcus_phoceensis	0.054517824
GCF_000238055.2_Oribacterium_sp_ACB1_V2	0
GCF_900095495.1_B_ovatus_V975	1.146614
GCF_000626635.1_ASM62663v1	0
GCF_000155875.1_ASM15587v1	0
GCF_001717525.1_ASM171752v1	0
GCF_001858005.1_ASM185800v1	0
GCF_000473955.1__oprFasNSB1	0
GCF_000242195.1_Erys_bact_21_3_V1	0
GCF_000702125.1_ASM70212v1	0
GCF_002208045.1_SJD12	0.11420973
GCF_000238695.1_Tannerella_sp_6_1_58FAA_CT1_V1	0
GCF_000403495.2_Lach_bact_10-1_V1	0
GCF_900155655.1_Prevotella_ihuae	0
GCF_000157955.1_ASM15795v1	0.5556673
GCF_000711825.1_ASM71182v1	0.2205331
GCF_000154825.1_ASM15482v1	0
GCF_900103815.1_IMG-taxon_2657245269_annotated_assembly	0
GCF_000327285.1_ASM32728v1	0
GCF_000621605.1_ASM62160v1	0.39984202
GCF_001688845.2_ASM168884v2	0
GCF_001481725.1_ASM148172v1	0
GCF_001535605.1_ASM153560v1	0
GCF_001078555.1_Parabacteroides_sp_D26_V1	0
GCF_000702205.1_ASM70220v1	0.12777072
GCF_000191805.1_Lach_bact_4_1_37FAA_V1	0.12244356
GCF_900104615.1_PRJEB16353	0
GCF_900113595.1_IMG-taxon_2657245270_annotated_assembly	0.05531173
GCF_000297735.1_Bact_frag_HMW_615_V1	1.3288072
GCF_900049235.1_C.symbiosum_MappedAssembly	0.13090864
GCF_000195315.1_ASM19531v1	0.08029808
GCF_001814145.1_ASM181414v1	0
GCF_001466305.1_ASM146630v1	0
GCF_000467855.2_ASM46785v2	0.16282715
GCF_000162275.1_ASM16227v1	0
GCF_900114405.1_IMG-taxon_2654588176_annotated_assembly	0.21683829
GCF_000307375.1_Para_john_CL02T12C29_V1	0
GCF_000424365.1_ASM42436v1	4.8626337
GCF_002218725.1_ASM221872v1	0
GCF_000424445.1_ASM42444v1	0
GCF_900128445.1_PRJEB18031	0
GCF_000209385.2_Lach_bact_2_1_46_FAA_V2	0.9617672
GCF_000312145.1_ASM31214v1	0
GCF_000022065.1_ASM2206v1	0.37750688
GCF_000273295.1_Bact_vulg_CL09T03C04_V1	0
GCF_900113415.1_IMG-taxon_2651870359_annotated_assembly	0.24220362
GCF_900018625.1_13566_1_59	0
GCF_002003555.1_ASM200355v1	0
GCF_002218605.1_ASM221860v1	0
GCF_900106755.1_IMG-taxon_2693429916_annotated_assembly	0.12566979
GCF_000312405.1_ASM31240v1	0
GCF_000493455.1_LhCIRMBIA951V1	0.2868032
GCF_900103685.1_IMG-taxon_2623620481_annotated_assembly	0.04072738
GCF_000424345.1_ASM42434v1	0
GCF_000209425.1_Lach_bact_6_1_63FAA_V1	0
GCF_000218445.1_Lach_bact_1_1_57FAA_V1	0
GCF_900128485.1_PRJEB18048	0
GCF_000312445.1_ASM31244v1	0.08019356
GCF_000154065.1_ASM15406v1	0
GCF_000970735.1_ASM97073v1	0.16050993
GCF_000331995.1_ASM33199v1	0
GCF_900095795.1_E5A	0
GCF_900101325.1_IMG-taxon_2596583543_annotated_assembly	0.06625484
GCF_000177015.3_Rumi_bact_D16_V2	0.07022875
GCF_002549775.1_ASM254977v1	0.17532872
GCF_900128905.1_IMG-taxon_2695420932_annotated_assembly	0
GCF_000426505.1_ASM42650v1	0
GCF_000235505.1_Clos_hath_WAL_18680_V1	0
GCF_900116075.1_IMG-taxon_2654588129_annotated_assembly	0.11833943
GCF_000220255.1_ASM22025v1	0.32144737
GCF_000745455.1_ASM74545v1	0
GCF_000239295.1_ASM23929v1	0
GCF_001436185.1_ASM143618v1	0
GCF_001998765.1_ASM199876v1	0
GCF_000155915.2_Lacto_jensenii_1153_V2	0.05290785
GCF_000010505.1_ASM1050v1	0.31093493
GCF_000621465.1_ASM62146v1	0.070021704
GCF_000156535.1_ASM15653v1	0
GCF_000411355.1_Copr_sp_HPP0048_V1	0.2043538
GCF_000224655.1_Bilophila_sp_4_1_30_V1	0
GCF_000439125.1_ASM43912v1	0
GCF_000424405.1_ASM42440v1	0.072960086
GCF_002222595.2_ASM222259v2	0.032739744
GCF_000427365.1_ASM42736v1	0
GCF_000371545.1_Clos_clos_90A6_V1	0.49973017
GCF_000218365.1_Bacteroides_sp_1_1_30_V1	0
GCF_001078425.1_Clos_bolt_WAL_14578_V1	0
GCF_000242155.1_Lach_bact_7_1_58FAA_V1	0
GCF_900157295.1_11A	0.15806517
GCF_001592745.1_ASM159274v1	0.48155135
GCF_001682215.1_ASM168221v1	2.0144062
GCF_900176335.1_IMG-taxon_2588254267_annotated_assembly	0.48156682
GCF_002217985.1_ASM221798v1	25.86104
GCF_000297755.1_Bact_frag_HMW_616_V1	0.06567268
GCF_900102515.1_IMG-taxon_2593339224_annotated_assembly	0
GCF_000466505.1_ASM46650v1	0
GCF_000364265.1_Para_sp_ASF519_V1	0
GCF_000160135.1_ASM16013v1	0
